circle 24/24
triangle 22/16
star 36/23
umbrella 34/20

literaldot 4/1

literaldot 4/1
perchanceurmom 4/1

epicline 6/2
lessepicline 6/2
literaldot 4/1

ballin 16/8
equals 40/19
mario 32/13

lrbbmqbhcdarzowkkyhiddqscdxrjmowfrxsjybldbbrothery 144/1175
dyggxxpklorellnmpapqfwkhopkmcoqhnwnkubrotherbbuqcl 1960/1404
vswmdkqtbxixmvtrrbbrotherfwzqfjmafadrrwsofsbcnuvqh 8/3

rllmxfqyzdcboajtkvtinynjonzmkhddbrotherwltyzvhvgcq 1188/4326
tbrothertrcvnhmbmidwowqyehpvawgtigkslpueiyzvfnyuyb 982/3396
qknqalzuttuhknurlbajeixwxzjbrotherapcbjwvffhubyfcy 924/3018
brothermfxpbzutkxlxrchwgbnzpmjtbngfeilqplhqkcjwzvt 870/2830
xrjpkjmrovkjouaqbrotherutxexhpsehdvrmhlbfvmtsomfsp 1510/4877
coiyclzcmpwludtzoyaawjeidqvhaicfwkdyyeckbrotherurp 776/2483
llqexjxbrotherlxltojgrlvpxbtzmskxiqwrnebcndbiobthp 958/3063
ikmmmereyeubrothertrsrenpanxvutdghrtnjxoptrdderamk 776/2377
jbrotheraayecwkdfkyhhmvsgzzxkjqtrwkwkpkmrirtgdymnz 260/656
tmztbytedocsargtdlcrsstsyqeiqkkmzjfbrothererdklgxp 426/982
emzrhuwoffvkutyexzjollwtbrotherwnfnvbjljrgtlztrzsa 316/708
vdfqiomhsywwblbrotherfxliimdxojvrqlbezjwxhvatfczyk 192/365
tjvafqnidouijcectrzwbilyunkqjdmfojfvbrothersdtwylv 1938/3667
pvszhfnadlcfuadxmycvumqmrphqbgbrotherfqgtulnvrmhpo 3534/6342
zipzhovfvvqrzoxgwkbrotherjzxkkamuslegilcebvfsulqew 3612/6478
czmmkfpttohmewplsmxsslljbsxlbbodaasmhhfdybrothersm 3240/5685
jsnsbyktlkkgeflkectkpjuqfgdgjbduvqmxqbrothermvaqxt 2214/3804
gbrotherenfgnhwwepbeuzuzbcbrpmmwwtnzsuwzhefvlbtrsw 1080/1753
deqbkbrotheryxtwzhpmxjvncgregqvjumkgccdcsmcslxqneg 608/979
kdawpmtqiaglujrabxibyxwpbrotherpmzlboguwiahfmafpyo 856/1371
dbrothervnbdrvcepzjswmnckidivxubrjspdplacmetkizbjk 442/707
cescffndavygcbdnbrotherxqhghaogcubhziudjrdpuhsjcmr 904/1401
tziojygsizbmzmlgjjpkjafndpfbmixijhwvhbrotherfomoye 774/1004
kpxwmfdhzrcmbrothereitnenurhngkzvhvjoasorwclmygywu 2960/3759
lakgeqwmvaodltfchotesejtvbrotherlztpqsensssfnyhvoa 3138/3870
xvnklqecsnbvzmsbrotherskntncpkfngszrifuctvyujqvnmp 984/1201
omhqiigxvqjoydcqudbrotherbrqtdgkrpazxgzuyijwnnnjth 74/89
lnwtivqddaigcttxfwdqponvjaqbrotherxepphvqrbslwrqux 734/863
gebgjxmdlsqghcyvyfsplbrothergcqnirvtokwacpilrgiqoa 380/443
triholpleljssbvztucrhcebiljcdgrwzzfqbrotherdndciag 644/717
nbrothermswjngzfgpyivnferxoyfmwsquzkkebwyafngeunwt 3424/3434
dbrothercyotnfevzccrtmliuiuahlskbndhocjqczlqfpneus 410/411
ddxflsnrzbrothernzpkmvfzvdqrclwgpvncoatnhdsgkbfaau 3608/3602
xagjbutrpodwqejfgktfhkjhxorjvvfsvlewgxnxnbrotherpc 850/845
gvdosnscnotforntjlzcbrotheregugorkdkzvmolftzzjuiww 2304/2253
ufrbrotherrpzwqrqrmjwananbhyntbkausfesehpxyovqimiw 296/289
tydlsxbwlsikqjnhyoynrgxjzmurzpoubrotherebnotxdaxuy 998/965
kuroleomhbvpzbdjugqeqwuksifqgassbrotherxarmasrjoab 2502/2405
xbfkrppctmbrotherghotwmwfkzuhqfgtlqkciovwczhogakmk 74/71
amwilttfsbrothersqncegyjtlhxjmdjazrltmqnkehkjmmdez 1766/1681
oqsghskzorerelhbjbrotherahmlzlrpcmvlggmuxsledshmcu 422/398
axufkishxngeswkvkbvlbrotherhqrhsodzylrhieqpymbuwcr 1618/1523
aiarucwcgbriislyjetpgltgnwfvkcykmadhfbbrotherilfmh 1674/1516
hhxmrtbixkkbrothernbedpmcssfdullciztdddbnnztftemxs 1372/1240
